Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
2024-08-16,Man United,Fulham,1,0,H
2024-08-17,Ipswich,Liverpool,0,2,A
2024-08-17,Arsenal,Wolves,2,0,H
2024-08-17,Everton,Brighton,0,3,A
2024-08-17,Newcastle,Southampton,1,0,H
2024-08-17,Nott'm Forest,Bournemouth,1,1,D
2024-08-17,West Ham,Aston Villa,1,2,A
2024-08-18,Brentford,Crystal Palace,2,1,H
2024-08-18,Chelsea,Man City,0,2,A
2024-08-19,Leicester,Tottenham,1,1,D
2024-08-24,Brighton,Man United,2,1,H
2024-08-24,Crystal Palace,West Ham,0,2,A
2024-08-24,Fulham,Leicester,2,1,H
2024-08-24,Man City,Ipswich,4,1,H
2024-08-24,Southampton,Nott'm Forest,0,1,A
2024-08-24,Tottenham,Everton,4,0,H
2024-08-24,Aston Villa,Arsenal,0,2,A
2024-08-25,Bournemouth,Newcastle,1,1,D
2024-08-25,Wolves,Chelsea,2,6,A
2024-08-25,Liverpool,Brentford,2,0,H
2024-08-31,Arsenal,Brighton,1,1,D
2024-08-31,Brentford,Southampton,3,1,H
2024-08-31,Everton,Bournemouth,2,3,A
2024-08-31,Ipswich,Fulham,1,1,D
2024-08-31,Leicester,Aston Villa,1,2,A
2024-08-31,Nott'm Forest,Wolves,1,1,D
2024-08-31,West Ham,Man City,1,3,A
2024-09-01,Chelsea,Crystal Palace,1,1,D
2024-09-01,Newcastle,Tottenham,2,1,H
2024-09-01,Man United,Liverpool,0,3,A
2024-09-14,Southampton,Man United,0,3,A
2024-09-14,Brighton,Ipswich,0,0,D
2024-09-14,Crystal Palace,Leicester,2,2,D
2024-09-14,Fulham,West Ham,1,1,D
2024-09-14,Liverpool,Nott'm Forest,0,1,A
2024-09-14,Man City,Brentford,2,1,H
2024-09-14,Aston Villa,Everton,3,2,H
2024-09-14,Bournemouth,Chelsea,0,1,A
2024-09-15,Tottenham,Arsenal,0,1,A
2024-09-15,Wolves,Newcastle,1,2,A
2024-09-21,West Ham,Chelsea,0,3,A
2024-09-21,Aston Villa,Wolves,3,1,H
2024-09-21,Fulham,Newcastle,3,1,H
2024-09-21,Leicester,Everton,1,1,D
2024-09-21,Liverpool,Bournemouth,3,0,H
2024-09-21,Southampton,Ipswich,1,1,D
2024-09-21,Tottenham,Brentford,3,1,H
2024-09-21,Crystal Palace,Man United,0,0,D
2024-09-22,Brighton,Nott'm Forest,2,2,D
2024-09-22,Man City,Arsenal,2,2,D
2024-09-28,Newcastle,Man City,1,1,D
2024-09-28,Arsenal,Leicester,4,2,H
2024-09-28,Brentford,West Ham,1,1,D
2024-09-28,Chelsea,Brighton,4,2,H
2024-09-28,Everton,Crystal Palace,2,1,H
2024-09-28,Nott'm Forest,Fulham,0,1,A
2024-09-28,Wolves,Liverpool,1,2,A
2024-09-29,Ipswich,Aston Villa,2,2,D
2024-09-29,Man United,Tottenham,0,3,A
2024-09-30,Bournemouth,Southampton,3,1,H
2024-10-05,Crystal Palace,Liverpool,0,1,A
2024-10-05,Arsenal,Southampton,3,1,H
2024-10-05,Brentford,Wolves,5,3,H
2024-10-05,Leicester,Bournemouth,1,0,H
2024-10-05,Man City,Fulham,3,2,H
2024-10-05,West Ham,Ipswich,4,1,H
2024-10-05,Everton,Newcastle,0,0,D
2024-10-06,Aston Villa,Man United,0,0,D
2024-10-06,Chelsea,Nott'm Forest,1,1,D
2024-10-06,Brighton,Tottenham,3,2,H
2024-10-19,Tottenham,West Ham,4,1,H
2024-10-19,Fulham,Aston Villa,1,3,A
2024-10-19,Ipswich,Everton,0,2,A
2024-10-19,Man United,Brentford,2,1,H
2024-10-19,Newcastle,Brighton,0,1,A
2024-10-19,Southampton,Leicester,2,3,A
2024-10-19,Bournemouth,Arsenal,2,0,H
2024-10-20,Wolves,Man City,1,2,A
2024-10-20,Liverpool,Chelsea,2,1,H
2024-10-21,Nott'm Forest,Crystal Palace,1,0,H
2024-10-25,Leicester,Nott'm Forest,1,3,A
2024-10-26,Aston Villa,Bournemouth,1,1,D
2024-10-26,Brentford,Ipswich,4,3,H
2024-10-26,Brighton,Wolves,2,2,D
2024-10-26,Man City,Southampton,1,0,H
2024-10-26,Everton,Fulham,1,1,D
2024-10-27,Chelsea,Newcastle,2,1,H
2024-10-27,Crystal Palace,Tottenham,1,0,H
2024-10-27,West Ham,Man United,2,1,H
2024-10-27,Arsenal,Liverpool,2,2,D
2024-11-02,Newcastle,Arsenal,1,0,H
2024-11-02,Bournemouth,Man City,2,1,H
2024-11-02,Ipswich,Leicester,1,1,D
2024-11-02,Liverpool,Brighton,2,1,H
2024-11-02,Nott'm Forest,West Ham,3,0,H
2024-11-02,Southampton,Everton,1,0,H
2024-11-02,Wolves,Crystal Palace,2,2,D
2024-11-03,Tottenham,Aston Villa,4,1,H
2024-11-03,Man United,Chelsea,1,1,D
2024-11-04,Fulham,Brentford,2,1,H
2024-11-09,Brentford,Bournemouth,3,2,H
2024-11-09,Crystal Palace,Fulham,0,2,A
2024-11-09,West Ham,Everton,0,0,D
2024-11-09,Wolves,Southampton,2,0,H
2024-11-09,Brighton,Man City,2,1,H
2024-11-09,Liverpool,Aston Villa,2,0,H
2024-11-10,Man United,Leicester,3,0,H
2024-11-10,Nott'm Forest,Newcastle,1,3,A
2024-11-10,Tottenham,Ipswich,1,2,A
2024-11-10,Chelsea,Arsenal,1,1,D
2024-11-23,Leicester,Chelsea,1,2,A
2024-11-23,Arsenal,Nott'm Forest,3,0,H
2024-11-23,Aston Villa,Crystal Palace,2,2,D
2024-11-23,Bournemouth,Brighton,1,2,A
2024-11-23,Everton,Brentford,0,0,D
2024-11-23,Fulham,Wolves,1,4,A
2024-11-23,Man City,Tottenham,0,4,A
2024-11-24,Southampton,Liverpool,2,3,A
2024-11-24,Ipswich,Man United,1,1,D
2024-11-25,Newcastle,West Ham,0,2,A
2024-11-29,Brighton,Southampton,1,1,D
